# output_current_1.csv run at 2000-01-01 00:01:00 UTC on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,8.361808,-0.144481,8.161539,4.380021,10.537386,2.132411
TR1,8.361808,-0.144481,8.161539,4.380021,10.537386,2.132411
LINE1,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE2,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE3,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE4,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE5,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE6,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE7,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE8,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE9,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE10,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE11,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE12,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE13,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE14,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE15,0.000000,-0.179929,0.000000,3.281809,0.000000,4.703081
LINE16,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE17,0.000000,-0.024932,0.000000,1.545864,0.000000,3.116661
LINE18,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE19,0.000000,0.220047,0.000000,0.220047,0.000000,4.687457
LINE20,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE21,0.000000,0.296819,0.000000,-0.024932,0.000000,4.695269
LINE22,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE23,0.000000,0.074737,0.000000,0.000000,0.000000,4.710890
LINE24,301.641317,-0.563429,163.077617,3.848882,247.381098,1.578870
LINE25,0.000000,0.140217,0.000000,4.687457,0.000000,-1.548888
LINE26,0.382488,-0.857592,0.000000,3.422210,0.000000,1.544378
LINE27,301.275279,-0.563061,163.077617,3.848882,247.381098,1.578870
LINE28,0.000000,0.058209,0.000000,3.902059,0.000000,-1.564488
LINE29,0.152995,-0.857593,0.000000,1.764767,0.000000,1.627648
LINE30,0.229493,-0.857592,0.000000,3.434926,0.000000,1.541520
LINE31,301.275279,-0.563061,163.077617,3.848882,247.381098,1.578870
LINE32,0.000000,-0.129809,0.000000,3.727387,0.000000,1.700861
LINE33,0.152995,-0.857593,0.000000,-0.241491,0.000000,1.725388
LINE34,0.229493,-0.857592,0.000000,3.386143,0.000000,1.436656
LINE35,0.000000,1.317020,0.402514,3.332443,0.000000,1.617476
LINE36,301.275279,-0.563061,162.727719,3.850104,247.381098,1.578870
LINE37,0.000000,-0.083688,0.000000,3.902059,0.000000,3.116661
LINE38,0.229493,-0.857592,0.000000,3.824686,0.000000,1.553741
LINE39,0.000000,0.957678,0.218028,3.332443,0.000000,1.606957
LINE40,0.000000,2.832409,0.184485,3.332443,0.000000,1.573933
LINE41,301.275279,-0.563061,162.727719,3.850104,247.381098,1.578870
LINE42,0.000000,0.115064,0.000000,-1.218749,0.000000,1.766541
LINE43,0.000000,0.099423,0.000000,3.902059,0.000000,-1.533309
LINE44,0.229493,-0.857592,0.000000,3.411759,0.000000,1.540009
LINE45,0.000000,1.707197,0.218028,3.332443,0.000000,-1.557893
LINE46,0.000000,-0.009880,0.184485,3.332443,0.000000,1.576102
LINE47,301.275279,-0.563061,162.727719,3.850104,247.381098,1.578870
LINE48,0.000000,0.848739,0.000000,-1.169866,0.000000,1.532375
LINE49,0.000000,-0.190081,0.000000,0.000000,0.000000,-0.024932
LINE50,0.229493,-0.857592,0.000000,0.165318,0.000000,4.620617
LINE51,0.000000,2.016649,0.218028,3.332443,0.000000,-1.561755
LINE52,301.275279,-0.563061,162.727719,3.850104,247.381098,1.578870
LINE53,0.000000,3.556790,0.000000,-0.268365,0.000000,4.195698
LINE54,0.000000,-0.365075,0.000000,-1.066153,0.000000,1.578936
LINE55,0.000000,-0.222327,0.000000,3.116661,0.000000,-1.513880
LINE56,0.229493,-0.857592,0.000000,-0.381809,0.000000,4.688358
LINE57,0.000000,2.184604,0.218028,3.332443,0.000000,-1.330824
LINE58,301.275279,-0.563061,162.727719,3.850104,247.381098,1.578870
LINE59,0.000000,3.414234,0.000000,0.417192,0.000000,4.697194
LINE60,0.000000,-0.959643,0.000000,-1.308734,0.000000,1.482244
LINE61,0.000000,-0.316389,0.000000,3.116661,0.000000,-1.525531
LINE62,0.229493,-0.857592,0.000000,0.640258,0.000000,1.529943
LINE63,0.000000,2.409878,0.218028,3.332443,0.000000,-1.489570
LINE64,90.490054,0.955599,162.727719,3.850104,247.381098,1.578870
LINE65,310.022234,-0.858841,0.000000,0.403034,0.000000,0.972385
