# output_voltage_1.csv run at 2000-01-01 00:01:00 UTC on 966 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,251.570766,-0.536889,252.178359,3.657317,251.952524,1.559202
Bus2,251.375808,-0.537045,252.142494,3.657085,251.838269,1.559315
Bus3,251.355370,-0.537061,252.138735,3.657060,251.826291,1.559327
Bus4,251.336223,-0.537077,252.135213,3.657038,251.815070,1.559338
Bus5,251.319529,-0.537090,252.132143,3.657018,251.805286,1.559348
Bus6,251.293230,-0.537111,252.127306,3.656986,251.789874,1.559363
Bus7,249.502645,-0.538554,251.798535,3.654850,250.740485,1.560409
Bus8,249.422460,-0.538619,251.783836,3.654754,250.693491,1.560456
Bus9,249.355721,-0.538673,251.771604,3.654675,250.654377,1.560495
Bus10,249.297152,-0.538721,251.760871,3.654605,250.620052,1.560530
Bus11,249.253450,-0.538756,251.752863,3.654552,250.594439,1.560555
Bus12,249.212424,-0.538790,251.745346,3.654503,250.570395,1.560579
Bus13,249.187197,-0.538810,251.740724,3.654473,250.555611,1.560594
Bus14,249.124394,-0.538861,251.729218,3.654398,250.518804,1.560631
Bus15,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus16,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus17,247.998790,-0.539782,251.523225,3.653051,249.859112,1.561294
Bus18,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus19,247.956348,-0.539817,251.515466,3.653000,249.834238,1.561319
Bus20,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus21,247.908691,-0.539856,251.506755,3.652943,249.806306,1.561347
Bus22,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus23,247.831096,-0.539920,251.492572,3.652850,249.760829,1.561393
Bus24,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus25,247.689936,-0.540036,251.466776,3.652681,249.678097,1.561477
Bus26,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus27,247.687370,-0.540033,251.466784,3.652681,249.678125,1.561477
Bus28,245.924286,-0.541506,251.143842,3.650564,248.640505,1.562524
Bus29,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus30,247.687088,-0.540033,251.466784,3.652681,249.678128,1.561477
Bus31,247.686957,-0.540033,251.466785,3.652681,249.678130,1.561477
Bus32,245.454333,-0.541901,251.058062,3.649999,248.364328,1.562804
Bus33,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus34,247.686440,-0.540032,251.466786,3.652681,249.678136,1.561477
Bus35,247.686943,-0.540033,251.466785,3.652681,249.678130,1.561477
Bus36,245.454361,-0.541901,251.055444,3.650002,248.364336,1.562804
Bus37,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus38,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus39,247.686923,-0.540033,251.466785,3.652681,249.678130,1.561477
Bus40,245.454362,-0.541901,251.055345,3.650002,248.364336,1.562804
Bus41,245.454365,-0.541901,251.055066,3.650002,248.364337,1.562804
Bus42,243.046414,-0.543954,250.624237,3.647098,246.949652,1.564258
Bus43,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus44,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus45,247.686897,-0.540033,251.466785,3.652681,249.678130,1.561477
Bus46,245.454363,-0.541901,251.055301,3.650002,248.364336,1.562804
Bus47,245.454375,-0.541901,251.054155,3.650003,248.364339,1.562804
Bus48,242.301227,-0.544598,250.490370,3.646198,246.511830,1.564711
Bus49,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus50,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus51,247.686834,-0.540033,251.466785,3.652681,249.678131,1.561477
Bus52,245.454363,-0.541901,251.055253,3.650002,248.364336,1.562804
Bus53,242.193794,-0.544691,250.471086,3.646068,246.448709,1.564776
Bus54,242.301227,-0.544598,250.490370,3.646198,246.511830,1.564711
Bus55,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus56,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus57,247.686781,-0.540033,251.466785,3.652681,249.678132,1.561477
Bus58,245.454364,-0.541901,251.055208,3.650002,248.364336,1.562804
Bus59,241.707179,-0.545114,250.383787,3.645479,246.162802,1.565073
Bus60,242.301227,-0.544598,250.490370,3.646198,246.511830,1.564711
Bus61,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus62,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus63,247.686523,-0.540033,251.466786,3.652681,249.678135,1.561477
Bus64,245.454364,-0.541901,251.055181,3.650002,248.364336,1.562804
Bus65,241.743904,-0.545326,250.352742,3.645598,246.059077,1.564968
Bus66,238.797532,-0.542151,250.392605,3.645313,246.194948,1.565187
Bus67,242.301227,-0.544598,250.490370,3.646198,246.511830,1.564711
Bus68,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus69,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus70,247.685612,-0.540032,251.466789,3.652681,249.678145,1.561477
Bus71,245.454365,-0.541901,251.055128,3.650002,248.364336,1.562804
Bus72,242.178622,-0.547822,249.986227,3.647002,244.833819,1.563720
Bus73,237.781606,-0.541100,250.395690,3.645254,246.206177,1.565227
Bus74,238.391914,-0.541732,250.393833,3.645289,246.199434,1.565203
Bus75,242.301227,-0.544598,250.490370,3.646198,246.511830,1.564711
Bus76,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus77,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus78,245.454368,-0.541901,251.054860,3.650003,248.364337,1.562804
Bus79,242.330508,-0.548690,249.858586,3.647493,244.406816,1.563283
Bus80,242.301227,-0.544598,250.490370,3.646198,246.511830,1.564711
Bus81,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus82,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus83,245.454379,-0.541901,251.053849,3.650004,248.364340,1.562804
Bus84,242.363678,-0.548879,249.830738,3.647600,244.313636,1.563187
Bus85,242.301227,-0.544598,250.490370,3.646198,246.511830,1.564711
Bus86,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus87,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus88,242.430970,-0.549263,249.774276,3.647817,244.124689,1.562992
Bus89,242.301227,-0.544598,250.490370,3.646198,246.511830,1.564711
Bus90,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus91,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus92,242.494462,-0.549624,249.721041,3.648022,243.946512,1.562809
Bus93,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus94,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus95,242.531380,-0.549835,249.690104,3.648141,243.842952,1.562702
Bus96,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus97,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus98,242.555768,-0.549973,249.669674,3.648220,243.774560,1.562631
Bus99,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus100,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus101,242.589448,-0.550165,249.641468,3.648329,243.680132,1.562534
Bus102,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus103,248.615660,-0.539276,251.636065,3.653790,250.220647,1.560930
Bus104,242.589449,-0.550165,249.641444,3.648329,243.680109,1.562534
Bus105,242.611683,-0.550291,249.622968,3.648400,243.617900,1.562469
Bus106,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus107,242.589450,-0.550165,249.641414,3.648329,243.680082,1.562534
Bus108,242.624293,-0.550363,249.612479,3.648441,243.582611,1.562433
Bus109,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus110,242.589451,-0.550165,249.641379,3.648329,243.680050,1.562533
Bus111,243.122842,-0.553185,249.198910,3.650045,242.190493,1.560984
Bus112,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus113,242.589452,-0.550165,249.641327,3.648329,243.680002,1.562533
Bus114,243.172893,-0.553467,249.157515,3.650206,242.051061,1.560837
Bus115,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus116,242.589455,-0.550165,249.641259,3.648329,243.679940,1.562533
Bus117,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus118,243.339063,-0.554335,249.040148,3.650654,241.627586,1.560280
Bus119,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus120,242.589456,-0.550165,249.641211,3.648329,243.679896,1.562533
Bus121,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus122,243.172891,-0.553467,249.157439,3.650206,242.050921,1.560837
Bus123,243.639192,-0.555898,248.828617,3.651463,240.864094,1.559269
Bus124,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus125,242.589459,-0.550165,249.641142,3.648329,243.679833,1.562533
Bus126,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus127,243.172887,-0.553467,249.157321,3.650206,242.050706,1.560837
Bus128,243.774353,-0.556600,248.733545,3.651827,240.520833,1.558813
Bus129,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus130,242.589461,-0.550165,249.641068,3.648329,243.679765,1.562533
Bus131,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus132,243.171967,-0.553467,249.157323,3.650206,242.050716,1.560837
Bus133,243.173152,-0.553468,249.156960,3.650207,242.050010,1.560836
Bus134,243.814590,-0.556808,248.705265,3.651936,240.418713,1.558677
Bus135,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus136,242.589463,-0.550165,249.640998,3.648329,243.679701,1.562533
Bus137,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus138,243.171888,-0.553466,249.157324,3.650206,242.050717,1.560837
Bus139,243.173348,-0.553468,249.156691,3.650207,242.049492,1.560835
Bus140,243.860023,-0.557044,248.673346,3.652058,240.303445,1.558523
Bus141,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus142,242.589467,-0.550165,249.640883,3.648329,243.679596,1.562532
Bus143,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus144,243.171810,-0.553466,249.157324,3.650206,242.050718,1.560837
Bus145,243.173479,-0.553469,249.156511,3.650208,242.049146,1.560834
Bus146,243.902764,-0.557265,248.643330,3.652173,240.195043,1.558378
Bus147,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus148,242.589485,-0.550165,249.640336,3.648329,243.679095,1.562531
Bus149,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus150,243.171747,-0.553466,249.157324,3.650206,242.050719,1.560837
Bus151,243.173521,-0.553469,249.156626,3.650208,242.048770,1.560834
Bus152,243.173508,-0.553469,249.153827,3.650210,242.049153,1.560834
Bus153,243.952650,-0.557523,248.608311,3.652308,240.068565,1.558209
Bus154,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus155,242.589489,-0.550165,249.640217,3.648329,243.678986,1.562531
Bus156,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus157,243.171653,-0.553466,249.157324,3.650206,242.050720,1.560837
Bus158,243.173632,-0.553471,249.156932,3.650209,242.047772,1.560834
Bus159,243.173510,-0.553469,249.153664,3.650211,242.049154,1.560834
Bus160,243.967007,-0.557597,248.598235,3.652346,240.032173,1.558160
Bus161,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus162,242.589522,-0.550165,249.637124,3.648332,243.678994,1.562531
Bus163,242.589437,-0.550166,249.639986,3.648329,243.678551,1.562530
Bus164,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
Bus165,243.171539,-0.553466,249.157325,3.650206,242.050721,1.560837
Bus166,243.173671,-0.553472,249.157038,3.650210,242.047426,1.560833
Bus167,243.173512,-0.553469,249.153515,3.650211,242.049154,1.560834
Bus168,244.048599,-0.558019,248.541001,3.652566,239.825433,1.557884
Bus169,244.032713,-0.543108,250.801702,3.648288,247.529122,1.563660
Bus170,242.589529,-0.550165,249.636540,3.648333,243.678996,1.562531
Bus171,242.589367,-0.550167,249.639680,3.648329,243.677974,1.562529
Bus172,243.172891,-0.553467,249.157464,3.650206,242.050967,1.560837
