# output_current_1.csv run at 2000-01-01 00:01:00 UTC on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,12.481946,-0.578577,7.606986,3.962267,13.462850,1.972557
TR1,12.481946,-0.578577,7.606986,3.962267,13.462850,1.972557
LINE1,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE2,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE3,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE4,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE5,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE6,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE7,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE8,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE9,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE10,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE11,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE12,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE13,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE14,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE15,0.000000,3.865039,0.000000,2.065011,0.000000,1.545864
LINE16,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE17,0.000000,3.811399,0.000000,1.545864,0.000000,1.561488
LINE18,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE19,0.000000,3.960815,0.000000,1.082217,0.000000,-1.486786
LINE20,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE21,0.000000,3.727387,0.000000,1.224114,0.000000,-1.425516
LINE22,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE23,0.000000,3.942038,0.000000,2.558061,0.000000,1.522431
LINE24,468.043835,-0.843869,171.634736,3.359623,228.718125,1.260028
LINE25,0.000000,4.306951,0.000000,2.871682,0.000000,1.538052
LINE26,0.389458,-0.856073,0.000000,4.080259,0.000000,1.560583
LINE27,467.654406,-0.843859,171.634736,3.359623,228.718125,1.260028
LINE28,0.000000,4.255049,0.000000,3.033520,0.000000,1.436922
LINE29,0.155783,-0.856074,0.000000,3.105185,0.000000,4.180234
LINE30,0.233675,-0.856073,0.000000,4.115361,0.000000,1.564508
