# output_voltage_1.csv run at 2000-01-01 00:01:00 UTC on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,249.916441,-0.542243,251.060744,3.657820,251.208991,1.560328
Bus2,249.581920,-0.542060,251.017185,3.657479,251.160469,1.560727
Bus3,249.546851,-0.542041,251.012620,3.657443,251.155385,1.560768
Bus4,249.513996,-0.542023,251.008343,3.657410,251.150622,1.560808
Bus5,249.485352,-0.542007,251.004615,3.657381,251.146470,1.560842
Bus6,249.440226,-0.541983,250.998742,3.657335,251.139929,1.560896
Bus7,246.367720,-0.540282,250.600078,3.654201,250.696241,1.564569
Bus8,246.230124,-0.540205,250.582280,3.654060,250.676448,1.564734
Bus9,246.115601,-0.540141,250.567470,3.653943,250.659980,1.564872
Bus10,246.015099,-0.540085,250.554476,3.653840,250.645531,1.564992
Bus11,245.940107,-0.540042,250.544782,3.653764,250.634752,1.565082
Bus12,245.869707,-0.540003,250.535683,3.653692,250.624635,1.565166
Bus13,245.826418,-0.539978,250.530089,3.653648,250.618414,1.565218
Bus14,245.718648,-0.539918,250.516163,3.653537,250.602932,1.565347
Bus15,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus16,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus17,243.787086,-0.538821,250.267070,3.651560,250.326125,1.567666
Bus18,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus19,243.714253,-0.538779,250.257696,3.651486,250.315713,1.567753
Bus20,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus21,243.632471,-0.538732,250.247172,3.651402,250.304024,1.567852
Bus22,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus23,243.499314,-0.538656,250.230040,3.651265,250.284997,1.568012
Bus24,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus25,243.257073,-0.538517,250.198885,3.651017,250.250398,1.568303
Bus26,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus27,243.254461,-0.538514,250.198892,3.651017,250.250427,1.568303
Bus28,240.224933,-0.536753,249.809483,3.647905,249.817615,1.571956
Bus29,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus30,243.254173,-0.538514,250.198893,3.651017,250.250430,1.568303
Bus31,243.254040,-0.538514,250.198894,3.651017,250.250432,1.568303
Bus32,239.417858,-0.536275,249.706226,3.647075,249.702964,1.572931
Bus33,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus34,243.253514,-0.538513,250.198895,3.651017,250.250438,1.568303
Bus35,243.254026,-0.538514,250.198894,3.651017,250.250432,1.568303
Bus36,239.417886,-0.536275,249.703594,3.647078,249.702971,1.572930
Bus37,236.976956,-0.534816,249.397597,3.644559,249.357514,1.575888
Bus38,244.845657,-0.539424,250.403466,3.652644,250.477664,1.566395
Bus39,243.254005,-0.538514,250.198894,3.651017,250.250432,1.568303
Bus40,239.417888,-0.536275,249.703495,3.647078,249.702972,1.572930
Bus41,239.417891,-0.536275,249.703214,3.647078,249.702972,1.572930
Bus42,235.283434,-0.533785,249.184358,3.642809,249.119080,1.577944
Bus43,236.976956,-0.534816,249.397597,3.644559,249.357514,1.575888
